15700 [main] INFO  com.routePerfect.tests.TestBase - Start test loginTest
15749 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: [class='login login__underline']
17886 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: [class='login login__underline']
17903 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: [class='login login__underline']
18655 [main] INFO  com.routePerfect.tests.TestBase - Find happened on [[ChromeDriver: chrome on MAC (053b999fc05e262364d74993b0e1aa80)] -> css selector: [class='login login__underline']] Using method By.cssSelector: [class='login login__underline']
19033 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: [class=link-primary]
19164 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: [class=link-primary]
19165 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: [class=link-primary]
19198 [main] INFO  com.routePerfect.tests.TestBase - Find happened on [[ChromeDriver: chrome on MAC (053b999fc05e262364d74993b0e1aa80)] -> css selector: [class=link-primary]] Using method By.cssSelector: [class=link-primary]
19457 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: input[placeholder='Your email']
19483 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: input[placeholder='Your email']
19483 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: input[placeholder='Your email']
19515 [main] INFO  com.routePerfect.tests.TestBase - Find happened on [[ChromeDriver: chrome on MAC (053b999fc05e262364d74993b0e1aa80)] -> css selector: input[placeholder='Your email']] Using method By.cssSelector: input[placeholder='Your email']
19758 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: input[placeholder='Your email']
19796 [main] INFO  com.routePerfect.tests.TestBase - Find happened on [[ChromeDriver: chrome on MAC (053b999fc05e262364d74993b0e1aa80)] -> css selector: input[placeholder='Your email']] Using method By.cssSelector: input[placeholder='Your email']
19833 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: input[placeholder='Your email']
19848 [main] INFO  com.routePerfect.tests.TestBase - Find happened on [[ChromeDriver: chrome on MAC (053b999fc05e262364d74993b0e1aa80)] -> css selector: input[placeholder='Your email']] Using method By.cssSelector: input[placeholder='Your email']
20374 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: input[placeholder='Your password']
20393 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: input[placeholder='Your password']
20394 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: input[placeholder='Your password']
20423 [main] INFO  com.routePerfect.tests.TestBase - Find happened on [[ChromeDriver: chrome on MAC (053b999fc05e262364d74993b0e1aa80)] -> css selector: input[placeholder='Your password']] Using method By.cssSelector: input[placeholder='Your password']
20573 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: input[placeholder='Your password']
20622 [main] INFO  com.routePerfect.tests.TestBase - Find happened on [[ChromeDriver: chrome on MAC (053b999fc05e262364d74993b0e1aa80)] -> css selector: input[placeholder='Your password']] Using method By.cssSelector: input[placeholder='Your password']
20686 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: input[placeholder='Your password']
20701 [main] INFO  com.routePerfect.tests.TestBase - Find happened on [[ChromeDriver: chrome on MAC (053b999fc05e262364d74993b0e1aa80)] -> css selector: input[placeholder='Your password']] Using method By.cssSelector: input[placeholder='Your password']
20836 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: [class='Button Button--submit Button--main']
20889 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: [class='Button Button--submit Button--main']
20890 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: [class='Button Button--submit Button--main']
20931 [main] INFO  com.routePerfect.tests.TestBase - Find happened on [[ChromeDriver: chrome on MAC (053b999fc05e262364d74993b0e1aa80)] -> css selector: [class='Button Button--submit Button--main']] Using method By.cssSelector: [class='Button Button--submit Button--main']
21164 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.xpath: //span[@class='site-menu__user__menu__name'][contains(.,'Hi test')]
21939 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.xpath: //span[@class='site-menu__user__menu__name'][contains(.,'Hi test')]
21944 [main] INFO  com.routePerfect.tests.TestBase - Stop testloginTest
21955 [main] INFO  com.routePerfect.tests.TestBase - Start test buildRouteTest
21969 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: #startIn
21996 [main] INFO  com.routePerfect.tests.TestBase - Find happened on [[ChromeDriver: chrome on MAC (053b999fc05e262364d74993b0e1aa80)] -> css selector: #startIn] Using method By.cssSelector: #startIn
22036 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.xpath: (//*[@placeholder='City/Region/Country'])[1]
22056 [main] INFO  com.routePerfect.tests.TestBase - Find happened on [[ChromeDriver: chrome on MAC (053b999fc05e262364d74993b0e1aa80)] -> xpath: (//*[@placeholder='City/Region/Country'])[1]] Using method By.xpath: (//*[@placeholder='City/Region/Country'])[1]
22267 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.xpath: (//*[@placeholder='City/Region/Country'])[1]
22286 [main] INFO  com.routePerfect.tests.TestBase - Find happened on [[ChromeDriver: chrome on MAC (053b999fc05e262364d74993b0e1aa80)] -> xpath: (//*[@placeholder='City/Region/Country'])[1]] Using method By.xpath: (//*[@placeholder='City/Region/Country'])[1]
22465 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.xpath: //*[contains(text(),'London, ')]
22894 [main] INFO  com.routePerfect.tests.TestBase - Find happened on [[ChromeDriver: chrome on MAC (053b999fc05e262364d74993b0e1aa80)] -> xpath: //*[contains(text(),'London, ')]] Using method By.xpath: //*[contains(text(),'London, ')]
23039 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: #startIn
23082 [main] INFO  com.routePerfect.tests.TestBase - Find happened on [[ChromeDriver: chrome on MAC (053b999fc05e262364d74993b0e1aa80)] -> css selector: #startIn] Using method By.cssSelector: #startIn
23105 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.xpath: //input-combobox[@id='endingIn']
23152 [main] INFO  com.routePerfect.tests.TestBase - Find happened on [[ChromeDriver: chrome on MAC (053b999fc05e262364d74993b0e1aa80)] -> xpath: //input-combobox[@id='endingIn']] Using method By.xpath: //input-combobox[@id='endingIn']
23306 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.xpath: (//*[@placeholder='City/Region/Country'])[2]
23349 [main] INFO  com.routePerfect.tests.TestBase - Find happened on [[ChromeDriver: chrome on MAC (053b999fc05e262364d74993b0e1aa80)] -> xpath: (//*[@placeholder='City/Region/Country'])[2]] Using method By.xpath: (//*[@placeholder='City/Region/Country'])[2]
23581 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.xpath: //*[contains(text(),'Oxford, ')]
23970 [main] INFO  com.routePerfect.tests.TestBase - Find happened on [[ChromeDriver: chrome on MAC (053b999fc05e262364d74993b0e1aa80)] -> xpath: //*[contains(text(),'Oxford, ')]] Using method By.xpath: //*[contains(text(),'Oxford, ')]
24117 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: [placeholder='Not selected']
24137 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: [placeholder='Not selected']
24137 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: [placeholder='Not selected']
24161 [main] INFO  com.routePerfect.tests.TestBase - Find happened on [[ChromeDriver: chrome on MAC (053b999fc05e262364d74993b0e1aa80)] -> css selector: [placeholder='Not selected']] Using method By.cssSelector: [placeholder='Not selected']
24586 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: [class='Icon Icon--ic_arrow_right flexy']
24620 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: [class='Icon Icon--ic_arrow_right flexy']
24621 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: [class='Icon Icon--ic_arrow_right flexy']
24648 [main] INFO  com.routePerfect.tests.TestBase - Find happened on [[ChromeDriver: chrome on MAC (053b999fc05e262364d74993b0e1aa80)] -> css selector: [class='Icon Icon--ic_arrow_right flexy']] Using method By.cssSelector: [class='Icon Icon--ic_arrow_right flexy']
25761 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.xpath: (//div[contains(text(),'2')][@class='datepicker__calendar__month__day__num__active'])[1]
25781 [main] INFO  com.routePerfect.tests.TestBase - Find happened on [[ChromeDriver: chrome on MAC (053b999fc05e262364d74993b0e1aa80)] -> xpath: (//div[contains(text(),'2')][@class='datepicker__calendar__month__day__num__active'])[1]] Using method By.xpath: (//div[contains(text(),'2')][@class='datepicker__calendar__month__day__num__active'])[1]
25939 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.xpath: (//*[@placeholder='Not selected'])[2]
25978 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.xpath: (//*[@placeholder='Not selected'])[2]
25979 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.xpath: (//*[@placeholder='Not selected'])[2]
