17159 [main] INFO  com.routePerfect.tests.TestBase - Start test loginTest
22400 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.xpath: //input-combobox[@id='endingIn']
22416 [main] INFO  com.routePerfect.tests.TestBase - Find happened on [[ChromeDriver: chrome on MAC (6fd396fe8f56f426f5b260821f83b737)] -> xpath: //input-combobox[@id='endingIn']] Using method By.xpath: //input-combobox[@id='endingIn']
22498 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.xpath: (//*[@placeholder='City/Region/Country'])[2]
22516 [main] INFO  com.routePerfect.tests.TestBase - Find happened on [[ChromeDriver: chrome on MAC (6fd396fe8f56f426f5b260821f83b737)] -> xpath: (//*[@placeholder='City/Region/Country'])[2]] Using method By.xpath: (//*[@placeholder='City/Region/Country'])[2]
22629 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.xpath: //*[contains(text(),'Oxford, ')]
22929 [main] INFO  com.routePerfect.tests.TestBase - Find happened on [[ChromeDriver: chrome on MAC (6fd396fe8f56f426f5b260821f83b737)] -> xpath: //*[contains(text(),'Oxford, ')]] Using method By.xpath: //*[contains(text(),'Oxford, ')]
23023 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: [placeholder='Not selected']
23040 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: [placeholder='Not selected']
23041 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: [placeholder='Not selected']
23057 [main] INFO  com.routePerfect.tests.TestBase - Find happened on [[ChromeDriver: chrome on MAC (6fd396fe8f56f426f5b260821f83b737)] -> css selector: [placeholder='Not selected']] Using method By.cssSelector: [placeholder='Not selected']
23821 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.xpath: (//div[contains(text(),'30')][@class='datepicker__calendar__month__day__num__active'])[1]
23842 [main] INFO  com.routePerfect.tests.TestBase - Find happened on [[ChromeDriver: chrome on MAC (6fd396fe8f56f426f5b260821f83b737)] -> xpath: (//div[contains(text(),'30')][@class='datepicker__calendar__month__day__num__active'])[1]] Using method By.xpath: (//div[contains(text(),'30')][@class='datepicker__calendar__month__day__num__active'])[1]
23975 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.xpath: (//*[@placeholder='Not selected'])[2]
23996 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.xpath: (//*[@placeholder='Not selected'])[2]
23996 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.xpath: (//*[@placeholder='Not selected'])[2]
24016 [main] INFO  com.routePerfect.tests.TestBase - Find happened on [[ChromeDriver: chrome on MAC (6fd396fe8f56f426f5b260821f83b737)] -> xpath: (//*[@placeholder='Not selected'])[2]] Using method By.xpath: (//*[@placeholder='Not selected'])[2]
24245 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.xpath: //div[contains(text(),'6')]
24274 [main] INFO  com.routePerfect.tests.TestBase - Find happened on [[ChromeDriver: chrome on MAC (6fd396fe8f56f426f5b260821f83b737)] -> xpath: //div[contains(text(),'6')]] Using method By.xpath: //div[contains(text(),'6')]
24404 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.xpath: (//div[@class='input-field last'])
24425 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.xpath: (//div[@class='input-field last'])
24425 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.xpath: (//div[@class='input-field last'])
24442 [main] INFO  com.routePerfect.tests.TestBase - Find happened on [[ChromeDriver: chrome on MAC (6fd396fe8f56f426f5b260821f83b737)] -> xpath: (//div[@class='input-field last'])] Using method By.xpath: (//div[@class='input-field last'])
24545 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.xpath: //span[contains(text(),'Other options...')]
24579 [main] INFO  com.routePerfect.tests.TestBase - Find happened on [[ChromeDriver: chrome on MAC (6fd396fe8f56f426f5b260821f83b737)] -> xpath: //span[contains(text(),'Other options...')]] Using method By.xpath: //span[contains(text(),'Other options...')]
24810 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.xpath: (//div[@class='mat-select-trigger'])[3]
24832 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.xpath: (//div[@class='mat-select-trigger'])[3]
24832 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.xpath: (//div[@class='mat-select-trigger'])[3]
24848 [main] INFO  com.routePerfect.tests.TestBase - Find happened on [[ChromeDriver: chrome on MAC (6fd396fe8f56f426f5b260821f83b737)] -> xpath: (//div[@class='mat-select-trigger'])[3]] Using method By.xpath: (//div[@class='mat-select-trigger'])[3]
24952 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.xpath: (//md-option[contains(@id,'md-option')])[3]
24971 [main] INFO  com.routePerfect.tests.TestBase - Find happened on [[ChromeDriver: chrome on MAC (6fd396fe8f56f426f5b260821f83b737)] -> xpath: (//md-option[contains(@id,'md-option')])[3]] Using method By.xpath: (//md-option[contains(@id,'md-option')])[3]
25494 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.xpath: (//md-option[contains(@id,'md-option')])[3]
25515 [main] INFO  com.routePerfect.tests.TestBase - Find happened on [[ChromeDriver: chrome on MAC (6fd396fe8f56f426f5b260821f83b737)] -> xpath: (//md-option[contains(@id,'md-option')])[3]] Using method By.xpath: (//md-option[contains(@id,'md-option')])[3]
25763 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.xpath: //button[@class='Button Button--main Button--primary btn-strong btn-strong--small']
25794 [main] INFO  com.routePerfect.tests.TestBase - Find happened on [[ChromeDriver: chrome on MAC (6fd396fe8f56f426f5b260821f83b737)] -> xpath: //button[@class='Button Button--main Button--primary btn-strong btn-strong--small']] Using method By.xpath: //button[@class='Button Button--main Button--primary btn-strong btn-strong--small']
25840 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: #hp_showtrip
25858 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: #hp_showtrip
25858 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: #hp_showtrip
25877 [main] INFO  com.routePerfect.tests.TestBase - Find happened on [[ChromeDriver: chrome on MAC (6fd396fe8f56f426f5b260821f83b737)] -> css selector: #hp_showtrip] Using method By.cssSelector: #hp_showtrip
27098 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: [class='ItineraryElement-inner']
29512 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: [class='ItineraryElement-inner']
29513 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.xpath: //div[@id='0']//span[@class='ItineraryElement-location--cityName'][contains(text(),'London')]
30668 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.xpath: //div[@id='0']//span[@class='ItineraryElement-location--cityName'][contains(text(),'London')]
30670 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.xpath: //span[@class='ItineraryElement-location--cityName'][contains(text(),'Oxford')]
30853 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.xpath: //span[@class='ItineraryElement-location--cityName'][contains(text(),'Oxford')]
30854 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.xpath: (//*[@class='datepicker-click-exclude'])[1]//*[@ng-reflect-model='30-03-2019']
31192 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.xpath: (//*[@class='datepicker-click-exclude'])[1]//*[@ng-reflect-model='30-03-2019']
31193 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.xpath: (//*[@class='datepicker-click-exclude'])[2]//*[@ng-reflect-model='06-04-2019']
31454 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.xpath: (//*[@class='datepicker-click-exclude'])[2]//*[@ng-reflect-model='06-04-2019']
31456 [main] INFO  com.routePerfect.tests.TestBase - Stop testbuildRouteTest
31458 [main] INFO  com.routePerfect.tests.TestBase - Start test addDestinationTest
31461 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: [class='Icon Icon--close']
31623 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: [class='Icon Icon--close']
31623 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: [class='Icon Icon--close']
31701 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: [class='Icon Icon--close']
31701 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: [class='Icon Icon--close']
31756 [main] INFO  com.routePerfect.tests.TestBase - Find happened on [[ChromeDriver: chrome on MAC (6fd396fe8f56f426f5b260821f83b737)] -> css selector: [class='Icon Icon--close']] Using method By.cssSelector: [class='Icon Icon--close']
